模板名称,模板类型(中),模板类型(英),模板类型Key,模板ID,是否自定义,单元Key,单元中文名,单元英文名,采集间隔(s),数据类型,采集范围,字段Key,字段中文名,字段英文名,字段单位,值类型,支持告警阈值,说明(中文)
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","adcsystime","系统时间","System Time","","字符串","是","当前系统的标准时间。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"ACG BA","ACG BA","ACG BA","acgba","209760028721159","否","basic","系统信息","System Information","300","row","3","bacpu","CPU使用率","CPU Usage","%","数值","是","当前系统实际使用的CPU时间与总时间的比例。"
"ACG BA","ACG BA","ACG BA","acgba","209760028721159","否","basic","系统信息","System Information","300","row","3","badisk","磁盘使用率","Disk Usage","%","数值","是","当前系统磁盘已使用的空间与总空间的比例。"
"ACG BA","ACG BA","ACG BA","acgba","209760028721159","否","basic","系统信息","System Information","300","row","3","bamem","内存使用率","Memory Usage","%","数值","是","当前系统已使用的内存大小与总内存大小的比例。"
"ACG BA","ACG BA","ACG BA","acgba","209760028721159","否","basic","系统信息","System Information","300","row","3","basystem","系统版本","System Version","","字符串","是","当前系统中网管的版本。"
"ACG BA","ACG BA","ACG BA","acgba","209760028721159","否","basic","系统信息","System Information","300","row","3","baversion","版本信息","Version Information","","字符串","是","当前系统的版本。"
"ACG BA","ACG BA","ACG BA","acgba","209760028721159","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","dfs","数据库","Database","300","row","1","FileSize","文件大小","File Size","B","数值","是","指数据库文件的大小。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","lsass","LSASS进程","LSASS Process","300","row","1","CpuUtilization","LSASS进程 CPU利用率","CPU Usage in LSASS Process","%","数值","是","指LSASS占用CPU的时间百分比。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","lsass","LSASS进程","LSASS Process","300","row","1","HandleCount","句柄数量","Handles","","数值","是","指LSASS进程句柄的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","lsass","LSASS进程","LSASS Process","300","row","1","IOReadBitsPersec","I/O读速率","I/O Read Rate","bps","数值","是","指LSASS执行读取操作的速度。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","lsass","LSASS进程","LSASS Process","300","row","1","IOWriteBitsPersec","I/O写速率","I/O Write Rate","bps","数值","是","指LSASS执行写入操作的速度。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","ABClientSessions","AB客户端会话数","ABClient Sessions","","数值","是","指已连接的地址簿客户会话数，值为AB即地址薄。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DRAInboundObjectsPersec","每秒复制流入对象数","Inbound Objects/Sec","","数值","是","指每秒钟应用复制写入的对象的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DRAInObjAppPersec","每秒应用复制对象数","Copied Objects/Sec","","数值","是","指每秒钟执行应用复制的对象的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DRAInObjUpdReminPacket","剩余复制对象数","Left Objects/Sec","","数值","是","指每秒钟剩余未执行复制的对象的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DRAOutboundObjectsPersec","每秒复制流出对象数","Outbound Objects/Sec","","数值","是","指每秒钟应用复制读取的对象的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DSClientBindsPersec","每秒客户端绑定数","Client Bindings/Sec","","数值","是","指每秒钟成功绑定的客户端数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DSDirectoryReadsPersec","每秒目录读","Directory Reads/Sec","","数值","是","每秒目录读。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DSDirectoryWritesPersec","每秒目录写","Directory Writes/Sec","","数值","是","指每秒钟对目录执行写入的次数。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DSNotifyQueueSize","DS通知队列大小","DS Notification Queue Size","","数值","是","DS通知队列大小。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","DSServerBindsPersec","每秒服务器端绑定数","Server Bindings/Sec","","数值","是","指每秒钟成功绑定的服务器端数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","KerberosAuthentications","Kerberos认证数","Kerberos Authentications","","数值","是","Kerberos认证数。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","LDAPActiveThreads","LDAP活动线程数","Active LDAP Threads","","数值","是","指LDAP活动的线程的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","LDAPBindTime","LDAP绑定时间","LDAP Binding Time","","数值","是","指LDAP绑定时间。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","LDAPClientSessions","LDAP客户端会话数","LDAP Client Sessions","","数值","是","指LDAP客户端连接的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","LDAPSearchesPersec","每秒LDAP搜索次数","LDAP Searches/Sec","","数值","是","指每秒钟执行的LDAP搜索的次数。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","LDAPUDPoperationsPersec","每秒LDAP UDP操作数","LDAP UDP Operations/Sec","","数值","是","指每秒钟LDAP UDP连接操作的次数。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","LDAPWritesPersec","每秒LDAP写次数","LDAP Writes/Sec","","数值","是","指每秒钟LDAP写入的次数。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntds","网络监控","Network  Monitor","300","row","1","NTLMAuthentications","NTLM认证数","NTLM Authentications","","数值","是","NTLM认证数。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntfrs","NTFRS进程","NTFRS Process","300","row","1","CpuUtilization","NTFRS进程 CPU利用率","CPU Usage in NTFRS Process","%","数值","是","指NTFRS占用CPU的时间百分比。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntfrs","NTFRS进程","NTFRS Process","300","row","1","HandleCount","句柄数量","Handles","","数值","是","指NTFRS进程句柄的数量。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntfrs","NTFRS进程","NTFRS Process","300","row","1","IOReadBitsPersec","I/O读速率","I/O Read Rate","bps","数值","是","指NTFRS执行读取操作的速度。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","ntfrs","NTFRS进程","NTFRS Process","300","row","1","IOWriteBitsPersec","I/O写速率","I/O Write Rate","bps","数值","是","指NTFRS执行写入操作的速度。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","service","活动目录服务","Active Directory Service","300","predefine","3","displayname","显示名称","Display Name","","字符串","是","指服务的显示名称。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","service","活动目录服务","Active Directory Service","300","predefine","3","name","服务名","Service Name","","字符串","是","指服务的名称。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","service","活动目录服务","Active Directory Service","300","predefine","3","state","状态","State","","字符串","是","指服务的当前运行状态。"
"Active Directory服务","Active Directory服务","Active Directory","ad","209760028721161","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaCpuUsage","CPU核心使用数","Used CPU Cores","Cores","数值","是","节点上已经被使用的CPU核心数量。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaCpuUtilization","CPU核心利用率","CPU Core Usage","%","数值","是","CPU核心使用数与CPU核心总数的百分比。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaFsUsage","已使用的文件系统存储量","Used File System Storage","GB","数值","是","节点上已经被使用的文件系统存储总量。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaFsUtilization","文件系统利用率","File System Usage","%","数值","是","已使用的文件系统存储量与文件系统存储总量的百分比。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaGpuUsage","GPU使用数","Used GPUs","","数值","是","节点上已经被使用的图形处理单元数量。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaGpuUtilization","GPU利用率","GPU Usage","%","数值","是","GPU使用数与GPU总数量的百分比。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaMemoryUsage","已使用的内存量","Used Memory","GB","数值","是","节点的已经被使用内存大小。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaMemUtilization","内存利用率","Memory Usage","%","数值","是","已使用的内存量与内存总量的百分比。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaNodeIp","IP","IP","","字符串","是","AMPHA中节点的IP地址。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaNodeName","名称","Name","","字符串","是","AMPHA中节点的名称。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaTotalCpu","CPU核心总数","Total CPU Cores","Cores","数值","是","节点上可用的CPU核心的总数量。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaTotalFs","文件系统存储总量","Total File System Storage","GB","数值","是","节点上用于存储文件和数据的总容量。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaTotalGpu","GPU总数量","Total GPUs","","数值","是","节点上可用的图形处理单元的总数量。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","nodeInfo","管理节点计算机资源信息","Management Node Compute Resource Info","300","table","3","amphaTotalMemory","内存总量","Total Memory","GB","数值","是","节点的总内存大小。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","podInfo","重要Pod状态信息","Important Pod Status Info","300","table","3","amphaDescription","描述","Description","","字符串","是","AMPHA中对提供服务Pod的描述。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","podInfo","重要Pod状态信息","Important Pod Status Info","300","table","3","amphaNamespace","命名空间","Namespace","","字符串","是","AMPHA中提供服务的Pod所属的命名空间。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","podInfo","重要Pod状态信息","Important Pod Status Info","300","table","3","amphaPodName","名称","Name","","字符串","是","AMPHA中提供服务的Pod名称。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","podInfo","重要Pod状态信息","Important Pod Status Info","300","table","3","amphaStatus","状态","Status","","字符串","是","AMPHA中提供服务的Pod运行状态。"
"傲飞算力平台","傲飞算力平台","AMPHA","ampha","209760028721163","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Monitor","监视器","Monitor Details","300","table","1","MonitorAddr","地址","Monitor Address","","字符串","是","监视器的地址。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Monitor","监视器","Monitor Details","300","table","1","MonitorName","名称","Monitor Name","","字符串","是","监视器的名称。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Monitor","监视器","Monitor Details","300","table","1","MonitorRank","索引","Rank","","数值","是","监视器的索引。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","Fulll","全满","FULL","","字符串","是","全满。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","NearFull","附近全满","NEARFULL","","字符串","是","附近全满。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","NumDiffOsds","OSD集群中且不运行","OSDs In and Down","","数值","是","OSD集群中且不运行。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","NumInOsds","OSD集群中数","OSDIN","","数值","是","OSD集群中数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","NumOsds","OSD总数","OSDs","","数值","是","OSD总数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","NumOutOsds","OSD集群外","OSDOUT","","数值","是","OSD集群外。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","OSDStatus","OSD状态","OSD Status","300","row","1","NumUpOsds","OSD运行数","OSDUP","","数值","是","OSD运行数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","ActClean","活动+正常","Active+Clean PGs","","数值","是","活动的和正常的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","ActClScrDeep","活动+正常+清理+深的","Active+Clean+Scrubbing+Deep PGs","","数值","是","活动+正常+清理+深的的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","ActDegraded","活动+降级","Active+Remapped PGs","","数值","是","活动+降级的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","ActRemapped","活动+重映射","Rank","","数值","是","活动+重映射的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","Degraded","降级的PG","Degraded PGs","","数值","是","降级的PG的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","Down","PG停机","Down","","数值","是","PG停机的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","DowRemapPeer","停机+重映射+同等操作","Down+Remapped+Peering PGs","","数值","是","停机+重映射+同等操作的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","Incomplete","未完成PG","Incomplete PGs","","数值","是","未完成PG的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","Peering","同等操作PG","Peering PGs","","数值","是","同等操作PG的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","PG_Active","活动PG","Active PGs","","数值","是","活动PG的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","PG_Stale","不新鲜PG","Stale PGs","","数值","是","不新鲜PG的数量。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","PGStatus","归置组（PG）状态","PG Status","300","row","1","TotalPgs","PG总数","PGs","","数值","是","PG的总数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","DataBytes","数据大小","Data Size","B","数值","是","数据大小。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","ReadBytesSec","每秒读取字节数","Read Bytes Per Second","","数值","是","每秒读取字节数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","StorageAvailable","可用存储","Available Bytes","B","数值","是","可用存储。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","StorageTotal","存储总数","Total Bytes","B","数值","是","存储总数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","StorageUsed","已用存储","Used Bytes","B","数值","是","已用存储。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","StorageUsedRate","存储利用率","Used Rate","%","数值","是","存储利用率。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Storage","CEPH存储","CEPH Storage","300","row","1","WriteBytesSec","每秒写入字节数","Write Bytes Per Second","","数值","是","每秒写入字节数。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","Version","CEPH版本","CEPH Version","300","row","1","Ve_Version","CEPH版本","CEPH Version","","字符串","是","CEPH的版本。"
"Ceph","Ceph","Ceph","ceph","209760028721165","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","CpuPercent","CPU使用率","CPU Usage","%","数值","是","服务器的CPU使用率。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","DataDiskPercent","数据盘使用率","Data Disk Usage","%","数值","是","服务器数据盘的使用率。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","DataDiskSize","数据盘总容量","Total Data Disk Capacity","MB","数值","是","服务器数据盘的总容量。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","MemPercent","内存使用率","Memory Usage","%","数值","是","服务器的内存使用率。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","Status","系统状态","System State","","字符串","是","服务器的健康状态，包括“健康”和“故障”。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","SystemDiskPercent","系统盘使用率","System Disk Usage","%","数值","是","服务器系统盘的使用率。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","SystemDiskSize","系统盘总容量","Total System Disk Capacity","MB","数值","是","服务器系统盘的总容量。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","TotalCpu","CPU总频","Total CPU Frequency","GHz","数值","是","服务器CPU各核心频率的总和。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","systemData","系统监控数据","System Monitoring Data","300","row","1","TotalMem","内存总容量","Total Memory Capacity","GB","数值","是","服务器的内存总容量。"
"综合日志审计平台","综合日志审计平台","Comprehensive Log Audit Platform","clap","209760028721167","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","sysRunTime","运行时长","Operation Duration","","字符串","是","运行的时长。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","arch","处理器架构","Processor Architecture","","字符串","是","处理器的架构。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","core","处理器核数","Processor Core Count","","字符串","是","处理器的核数。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","freq","处理器频率","Processor Frequency","","字符串","是","处理器的频率。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","cType","处理器型号","Processor Model","","字符串","是","处理器的型号。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","rSize","内存容量","Memory Capacity","","字符串","是","内存的容量。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","rType","内存型号","Memory Model","","字符串","是","内存的型号。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","dSize","硬盘容量","Hard Disk Capacity","","字符串","是","硬盘的容量。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","deviceInformation","设备信息","Device Info","300","row","3","dType","硬盘型号","Hard Disk Model","","字符串","是","硬盘的型号。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","nodeStatus","node状态","Node State","300","table","3","nodeName","node名称","Node Name","","字符串","是","node的名称。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","nodeStatus","node状态","Node State","300","table","3","nodeStatus","node状态","Node State","","字符串","是","node的状态。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","nodeStatus","node状态","Node State","300","table","3","nodeAge","node运行时长","Node Operation Duration","","字符串","是","node运行的时长。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","componentInformation","组件信息","Component Info","300","row","3","AC","AC版本号","AC Version","","字符串","是","AC的版本号。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","componentInformation","组件信息","Component Info","300","row","3","CLUSTER","集群版本号","Cluster Version","","字符串","是","集群的版本号。"
"WBC云简平台","WBC云简平台","WBC Cloudnet","h3cwbc","209760028721169","否","componentInformation","组件信息","Component Info","300","row","3","Desktop","Desktop版本号","Desktop Version","","字符串","是","Desktop的版本号。"
